AMF_ID,Timestamp,Vendor,RM_RegisteredUEs,RM_RegAtt,RM_RegSucc,CPU_Load,Paging_Attempts,MM_MobilityRegUpdateAtt,MM_MobilityRegUpdateSucc
AMF_Lisboa_02,2025-09-10 00:00:00,Nokia,1572,142,135,30.971248336564777,77,37,56
AMF_Lisboa_02,2025-09-10 00:15:00,Nokia,1465,135,127,34.67346403485673,74,33,38
AMF_Lisboa_02,2025-09-10 00:30:00,Nokia,2026,237,228,28.91982544283536,82,68,64
AMF_Lisboa_02,2025-09-10 00:45:00,Nokia,1984,217,208,31.29238270945367,76,59,62
AMF_Lisboa_02,2025-09-10 01:00:00,Nokia,2057,231,221,41.0766576222812,65,63,61
AMF_Lisboa_02,2025-09-10 01:15:00,Nokia,1700,153,143,42.42600074333376,64,49,53
AMF_Lisboa_02,2025-09-10 01:30:00,Nokia,2670,233,224,47.87482111644634,136,76,91
AMF_Lisboa_02,2025-09-10 01:45:00,Nokia,2156,217,202,45.651673682831145,97,63,62
AMF_Lisboa_02,2025-09-10 02:00:00,Nokia,1716,160,153,52.26899269617273,77,43,56
AMF_Lisboa_02,2025-09-10 02:15:00,Nokia,2175,206,189,24.181854019868396,78,69,73
AMF_Lisboa_02,2025-09-10 02:30:00,Nokia,1430,110,105,33.253361056236024,51,37,44
AMF_Lisboa_02,2025-09-10 02:45:00,Nokia,2161,242,235,46.99571162517129,96,72,49
AMF_Lisboa_02,2025-09-10 03:00:00,Nokia,2101,211,200,35.813992829586994,115,77,62
AMF_Lisboa_02,2025-09-10 03:15:00,Nokia,1405,146,139,42.30222108027801,61,41,46
AMF_Lisboa_02,2025-09-10 03:30:00,Nokia,1358,155,149,27.990284568829892,36,42,34
AMF_Lisboa_02,2025-09-10 03:45:00,Nokia,2345,247,234,42.429871929251874,109,68,58
AMF_Lisboa_02,2025-09-10 04:00:00,Nokia,2125,192,190,44.03378873971863,84,61,65
AMF_Lisboa_02,2025-09-10 04:15:00,Nokia,2127,209,198,49.657292459896084,85,60,62
AMF_Lisboa_02,2025-09-10 04:30:00,Nokia,1666,170,160,41.980832876572215,85,61,61
AMF_Lisboa_02,2025-09-10 04:45:00,Nokia,1970,204,186,34.507404696781144,119,41,58
